holding_days,profit_target,stop_loss,compound_return,total_return,avg_return,win_rate,profit_trigger_rate,stop_trigger_rate,expiry_trigger_rate,trade_count
1,0.2,0.01,-0.13731530270350512,-0.12711579553019284,-0.003100385256833972,0.07317073170731707,0.024390243902439025,0.926829268292683,0.04878048780487805,41
2,0.2,0.01,-0.1664569142422515,-0.16204472843450482,-0.003952310449622068,0.04878048780487805,0.024390243902439025,0.9512195121951219,0.024390243902439025,41
3,0.2,0.01,-0.18394383212528098,-0.18361022364217258,-0.004478298137613966,0.04878048780487805,0.024390243902439025,0.9512195121951219,0.024390243902439025,41
4,0.2,0.01,-0.18782981387706565,-0.18840255591054317,-0.0045951842905010525,0.04878048780487805,0.024390243902439025,0.9512195121951219,0.024390243902439025,41
5,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
6,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
7,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
8,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
9,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
10,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
11,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
12,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
13,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
14,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
15,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
16,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
17,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
18,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
19,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
20,0.2,0.01,-0.1972338897163839,-0.20000000000000007,-0.004878048780487807,0.024390243902439025,0.024390243902439025,0.975609756097561,0.0,41
