report_date,recommendations,hits,hit_rate,avg_return,threshold
2025-09-12,5,5,1.0,0.03945421734109744,0.006
2025-09-16,5,1,0.2,-0.0037892510794815372,0.006
2025-09-17,5,4,0.8,0.018610895537607353,0.006
2025-09-18,5,1,0.2,-0.0013853490707180117,0.006
2025-09-19,5,1,0.2,0.009502550507930363,0.006
2025-09-22,5,1,0.2,-0.005172418347837615,0.006
2025-09-26,5,1,0.2,-0.01540403672571875,0.006
2025-09-29,5,1,0.2,-0.00585694022686718,0.006
2025-09-30,5,1,0.2,-0.024337055480708768,0.006
2025-10-01,5,1,0.2,-0.004979136533514117,0.006
2025-10-02,4,2,0.5,0.018522786649702,0.006
