date,num_trades,avg_return,daily_profit
2025-08-01,5,0.0,0.0
2025-08-02,5,0.0,0.0
2025-08-04,5,0.014000000000000007,14000.000000000007
2025-08-05,5,0.0,0.0
2025-08-06,5,0.0,0.0
2025-08-07,5,0.0,0.0
2025-08-08,5,0.0,0.0
2025-08-11,5,0.0,0.0
2025-08-12,5,0.0,0.0
2025-08-13,5,0.0,0.0
2025-08-14,5,0.0,0.0
2025-08-15,5,-0.010000000000000012,-10000.000000000011
2025-08-18,5,-0.010000000000000018,-10000.000000000016
2025-08-19,5,0.006688857188143921,6688.857188143921
2025-08-20,5,0.006734434561626429,6734.434561626429
2025-08-21,5,-0.010000000000000005,-10000.000000000005
2025-08-22,5,0.0,0.0
2025-08-25,5,0.0,0.0
2025-08-26,5,-0.010000000000000021,-10000.000000000022
2025-08-27,5,0.0,0.0
2025-08-28,5,-0.010000000000000016,-10000.000000000016
2025-08-29,5,0.014000000000000023,14000.000000000024
2025-09-01,5,0.0,0.0
2025-09-02,5,0.0,0.0
2025-09-03,5,0.0,0.0
2025-09-04,5,0.0,0.0
2025-09-05,5,0.0,0.0
